,date,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car,station_id,region_id,region_name,latitude,longitude,province_id,province_name,month
1,2020-01-01,24.4,34.3,29.3,82,15.2,5.6,4.0,280.0,1.0,C ,97760,494,Kab. Kaimana,-3.67,133.75,33,Papua Barat,01
3,2020-01-01,24.2,31.0,27.1,81,0.0,2.8,2.0,70.0,1.0,E ,97694,488,Kab. Manokwari,-1.47,134.19,33,Papua Barat,01
4,2020-01-01,24.3,32.6,27.8,73,0.0,0.4,5.0,260.0,2.0,W ,97690,460,Kab. Jayapura,-2.57,140.48,32,Papua,01
5,2020-01-01,24.2,30.4,26.0,90,4.2,6.0,5.0,10.0,2.0,S ,97682,461,Kab. Nabire,-3.3521,135.52,32,Papua,01
6,2020-01-01,23.3,31.8,26.4,88,4.9,1.7,3.0,250.0,0.0,C ,97692,460,Kab. Jayapura,-2.59231,140.16792,32,Papua,01
14,2020-01-01,26.6,32.0,28.8,81,0.0,2.4,3.0,340.0,1.0,C ,97698,486,Kota Jayapura,-2.53,140.72,32,Papua,01
19,2020-01-01,23.2,32.2,27.6,78,0.0,8.0,4.0,210.0,2.0,SW,97630,489,Kab. Fak Fak,-2.91938,132.26496,33,Papua Barat,01
20,2020-01-01,24.6,29.0,27.0,92,0.6,4.3,3.0,60.0,1.0,C ,97560,463,Kab. Biak Numfor,-1.19069,136.10361,32,Papua,01
25,2020-01-01,24.0,29.6,26.3,88,23.5,3.4,6.0,280.0,2.0,C ,96973,252,Kab. Sumenep,-7.03976,113.914,15,Jawa Timur,01
26,2020-01-01,16.8,25.1,22.3,93,23.0,1.0,2.0,80.0,0.0,C ,96945,237,Kab. Pasuruan,-7.70456,112.63533,15,Jawa Timur,01
27,2020-01-01,20.4,28.2,23.7,87,43.3,4.4,3.0,170.0,1.0,C ,96943,230,Kab. Malang,-7.9008,112.5979,15,Jawa Timur,01
28,2020-01-01,22.9,30.5,25.2,90,41.7,4.5,3.0,270.0,2.0,W ,96949,230,Kab. Malang,-8.15,112.45,15,Jawa Timur,01
29,2020-01-01,24.4,31.8,27.1,86,14.0,3.5,6.0,310.0,2.0,NW,96839,216,Kota Semarang,-6.97683,110.3778,13,Jawa Tengah,01
30,2020-01-01,23.4,31.2,25.0,90,29.5,4.8,7.0,290.0,2.0,C ,96851,222,Kab. Sleman,-7.731,110.354,14,DI Yogyakarta,01
31,2020-01-01,24.6,31.8,27.2,84,8.5,3.6,5.0,320.0,3.0,NW,96837,216,Kota Semarang,-6.9486,110.4199,13,Jawa Tengah,01
32,2020-01-01,24.4,28.6,26.7,88,147.9,0.5,4.0,300.0,2.0,NW,96749,266,Kota Tangerang,-6.12,106.65,16,Banten,01
33,2020-01-01,25.0,28.8,26.8,90,145.3,4.5,3.0,290.0,1.0,C ,96745,153,Kota Adm. Jakarta Pusat,-6.15559,106.84,11,DKI Jakarta,01
34,2020-01-01,24.2,31.4,27.0,88,9.6,3.6,6.0,280.0,4.0,W ,96835,216,Kota Semarang,-6.9847,110.3812,13,Jawa Tengah,01
35,2020-01-01,24.4,30.0,26.5,88,189.1,0.5,7.0,330.0,2.0,C ,96797,211,Kab. Tegal,-6.86817,109.12103,13,Jawa Tengah,01
36,2020-01-01,25.0,31.2,25.4,91,19.9,3.2,10.0,220.0,2.0,NW,96805,184,Kab. Cilacap,-7.7189,109.0149,13,Jawa Tengah,01
37,2020-01-01,24.4,30.8,26.6,88,50.5,4.7,4.0,290.0,1.0,C ,96791,167,Kab. Majalengka,-6.7344,108.263,12,Jawa Barat,01
38,2020-01-01,25.0,28.4,26.6,90,17.5,4.2,6.0,260.0,2.0,W ,96939,246,Kab. Tuban,-6.8229,111.99177,15,Jawa Timur,01
39,2020-01-01,25.0,30.6,27.5,84,1.5,5.2,6.0,280.0,3.0,W ,96935,238,Kab. Sidoarjo,-7.3846,112.7833,15,Jawa Timur,01
40,2020-01-01,21.2,25.2,22.3,88,13.4,3.9,4.0,250.0,2.0,W ,96783,177,Kota Bandung,-6.88356,107.59733,12,Jawa Barat,01
41,2020-01-01,22.5,26.5,24.6,95,44.4,3.2,4.0,90.0,1.0,C ,96753,175,Kota Bogor,-6.5,106.75,12,Jawa Barat,01
42,2020-01-01,19.3,24.3,19.3,98,60.0,0.0,4.0,310.0,1.0,C ,96751,158,Kab. Bogor,-6.7,106.85,12,Jawa Barat,01
43,2020-01-01,23.2,30.6,28.4,82,80.3,0.4,6.0,290.0,2.0,W ,96925,248,Kab. Gresik,-5.8511,112.6578,15,Jawa Timur,01
44,2020-01-01,24.1,31.2,25.7,91,2.4,4.8,2.0,20.0,1.0,S ,96855,222,Kab. Sleman,-7.82,110.3,14,DI Yogyakarta,01
45,2020-01-01,24.5,34.2,28.3,85,27.9,4.0,5.0,230.0,1.0,C ,96163,61,Kab. Padang Pariaman,-0.79355,100.28917,3,Sumatera Barat,01
47,2020-01-01,24.5,34.5,27.7,84,0.0,3.4,4.0,200.0,1.0,C ,96161,69,Kota Padang,-0.99639,100.37222,3,Sumatera Barat,01
49,2020-01-01,24.2,32.6,27.3,82,0.0,4.3,6.0,350.0,2.0,C ,96041,49,Kota Medan,3.5397,98.64,2,Sumatera Utara,01
50,2020-01-01,23.2,33.2,26.7,75,0.0,7.8,10.0,80.0,4.0,SE,96011,6,Kab. Aceh Besar,5.52244,95.417,1,Nanggroe Aceh Darussalam,01
51,2020-01-01,24.8,31.0,27.1,84,0.0,9.5,9.0,140.0,7.0,SE,96001,20,Kota Sabang,5.87655,95.33785,1,Nanggroe Aceh Darussalam,01
52,2020-01-01,23.2,31.5,27.3,74,0.0,4.7,6.0,70.0,3.0,E ,96009,8,Kab. Aceh Utara,5.22869,96.94749,1,Nanggroe Aceh Darussalam,01
53,2020-01-01,24.7,31.4,27.2,88,0.0,8.9,7.0,10.0,3.0,SW,96035,30,Kab. Deli Serdang,3.64573,98.88488,2,Sumatera Utara,01
