,date,RR,region_name,province_name,month
45,2020-01-01,27.9,Kab. Padang Pariaman,Sumatera Barat,01
47,2020-01-01,0.0,Kota Padang,Sumatera Barat,01
102,2020-01-01,2.2,Kab. Padang Pariaman,Sumatera Barat,01
1097,2020-02-01,0.3,Kab. Padang Pariaman,Sumatera Barat,02
1110,2020-02-01,0.0,Kota Padang,Sumatera Barat,02
1113,2020-02-01,0.0,Kab. Padang Pariaman,Sumatera Barat,02
2248,2020-03-01,23.9,Kab. Padang Pariaman,Sumatera Barat,03
3283,2020-04-01,0.0,Kab. Padang Pariaman,Sumatera Barat,04
3361,2020-04-01,0.0,Kab. Padang Pariaman,Sumatera Barat,04
4282,2020-05-01,66.7,Kota Padang,Sumatera Barat,05
4285,2020-05-01,32.6,Kab. Padang Pariaman,Sumatera Barat,05
4327,2020-05-01,51.2,Kab. Padang Pariaman,Sumatera Barat,05
5353,2020-06-01,0.0,Kota Padang,Sumatera Barat,06
6308,2020-07-01,0.9,Kab. Padang Pariaman,Sumatera Barat,07
6334,2020-07-01,0.0,Kota Padang,Sumatera Barat,07
7376,2020-08-01,10.0,Kab. Agam,Sumatera Barat,08
7377,2020-08-01,42.0,Kab. Padang Pariaman,Sumatera Barat,08
7389,2020-08-01,8.5,Kota Padang,Sumatera Barat,08
7390,2020-08-01,19.8,Kab. Padang Pariaman,Sumatera Barat,08
8386,2020-09-01,41.3,Kab. Padang Pariaman,Sumatera Barat,09
8438,2020-09-01,9.5,Kota Padang,Sumatera Barat,09
8439,2020-09-01,56.9,Kab. Padang Pariaman,Sumatera Barat,09
9405,2020-10-01,14.8,Kota Padang,Sumatera Barat,10
9407,2020-10-01,33.0,Kab. Padang Pariaman,Sumatera Barat,10
9449,2020-10-01,1.0,Kab. Padang Pariaman,Sumatera Barat,10
10501,2020-11-01,6.7,Kab. Padang Pariaman,Sumatera Barat,11
10503,2020-11-01,18.1,Kota Padang,Sumatera Barat,11
10562,2020-11-01,43.6,Kab. Padang Pariaman,Sumatera Barat,11
11577,2020-12-01,0.0,Kab. Padang Pariaman,Sumatera Barat,12
11578,2020-12-01,0.0,Kab. Agam,Sumatera Barat,12
11600,2020-12-01,0.0,Kota Padang,Sumatera Barat,12
12723,2020-01-02,0.0,Kota Padang,Sumatera Barat,01
13775,2020-02-02,0.0,Kab. Padang Pariaman,Sumatera Barat,02
13841,2020-02-02,0.0,Kota Padang,Sumatera Barat,02
13844,2020-02-02,0.0,Kab. Padang Pariaman,Sumatera Barat,02
14847,2020-03-02,35.0,Kota Padang,Sumatera Barat,03
14898,2020-03-02,9.0,Kab. Padang Pariaman,Sumatera Barat,03
15995,2020-04-02,0.0,Kota Padang,Sumatera Barat,04
17014,2020-05-02,13.3,Kab. Padang Pariaman,Sumatera Barat,05
17031,2020-05-02,78.0,Kota Padang,Sumatera Barat,05
17034,2020-05-02,29.3,Kab. Padang Pariaman,Sumatera Barat,05
18112,2020-06-02,0.6,Kab. Padang Pariaman,Sumatera Barat,06
18123,2020-06-02,0.0,Kota Padang,Sumatera Barat,06
19170,2020-07-02,26.0,Kab. Padang Pariaman,Sumatera Barat,07
19171,2020-07-02,0.0,Kota Padang,Sumatera Barat,07
20128,2020-08-02,0.0,Kota Padang,Sumatera Barat,08
20174,2020-08-02,2.0,Kab. Agam,Sumatera Barat,08
21204,2020-09-02,48.0,Kota Padang,Sumatera Barat,09
21248,2020-09-02,0.9,Kab. Padang Pariaman,Sumatera Barat,09
22234,2020-10-02,48.0,Kab. Padang Pariaman,Sumatera Barat,10
22251,2020-10-02,83.7,Kab. Padang Pariaman,Sumatera Barat,10
22253,2020-10-02,126.6,Kota Padang,Sumatera Barat,10
23376,2020-11-02,5.8,Kab. Padang Pariaman,Sumatera Barat,11
23386,2020-11-02,0.0,Kab. Padang Pariaman,Sumatera Barat,11
23387,2020-11-02,0.0,Kota Padang,Sumatera Barat,11
25517,2020-01-03,0.0,Kota Padang,Sumatera Barat,01
26617,2020-02-03,0.0,Kab. Padang Pariaman,Sumatera Barat,02
26660,2020-02-03,0.0,Kab. Padang Pariaman,Sumatera Barat,02
27663,2020-03-03,114.1,Kab. Padang Pariaman,Sumatera Barat,03
27670,2020-03-03,122.5,Kota Padang,Sumatera Barat,03
27672,2020-03-03,71.0,Kab. Padang Pariaman,Sumatera Barat,03
28775,2020-04-03,4.7,Kab. Padang Pariaman,Sumatera Barat,04
28793,2020-04-03,0.0,Kota Padang,Sumatera Barat,04
28795,2020-04-03,0.9,Kab. Padang Pariaman,Sumatera Barat,04
29807,2020-05-03,21.7,Kab. Padang Pariaman,Sumatera Barat,05
29872,2020-05-03,51.4,Kota Padang,Sumatera Barat,05
30893,2020-06-03,2.0,Kab. Padang Pariaman,Sumatera Barat,06
31893,2020-07-03,0.0,Kota Padang,Sumatera Barat,07
33919,2020-09-03,10.5,Kab. Padang Pariaman,Sumatera Barat,09
33939,2020-09-03,2.3,Kab. Padang Pariaman,Sumatera Barat,09
33942,2020-09-03,0.5,Kota Padang,Sumatera Barat,09
34953,2020-10-03,7.5,Kab. Padang Pariaman,Sumatera Barat,10
35027,2020-10-03,23.8,Kota Padang,Sumatera Barat,10
35028,2020-10-03,18.0,Kab. Padang Pariaman,Sumatera Barat,10
36009,2020-11-03,3.0,Kab. Padang Pariaman,Sumatera Barat,11
36010,2020-11-03,8.3,Kota Padang,Sumatera Barat,11
36056,2020-11-03,1.5,Kab. Padang Pariaman,Sumatera Barat,11
38184,2020-01-04,0.0,Kota Padang,Sumatera Barat,01
39316,2020-02-04,0.0,Kab. Padang Pariaman,Sumatera Barat,02
39326,2020-02-04,0.0,Kota Padang,Sumatera Barat,02
40446,2020-03-04,4.4,Kab. Padang Pariaman,Sumatera Barat,03
41438,2020-04-04,1.0,Kota Padang,Sumatera Barat,04
41439,2020-04-04,26.7,Kab. Padang Pariaman,Sumatera Barat,04
41476,2020-04-04,0.0,Kab. Padang Pariaman,Sumatera Barat,04
